person_id,name
https://openalex.org/A5055856506,Pawan Budhwar
https://openalex.org/A5067653484,Soumyadeb Chowdhury
https://openalex.org/A5034762665,Geoffrey Wood
https://openalex.org/A5067660877,Herman Aguinis
https://openalex.org/A5018194210,Greg J. Bamber
https://openalex.org/A5044503602,Jose R. Beltran
https://openalex.org/A5023651869,Paul Boselie
https://openalex.org/A5025486785,Fang Lee Cooke
https://openalex.org/A5064172786,Stephanie Decker
https://openalex.org/A5065954019,Angelo S. DeNisi
https://openalex.org/A5046908030,Prasanta Kumar Dey
https://openalex.org/A5091214938,David Guest
https://openalex.org/A5066797749,Andrew J. Knoblich
https://openalex.org/A5081370774,Jaap Paauwe
https://openalex.org/A5006679927,Savvas Papagiannidis
https://openalex.org/A5088161716,Charmi Patel
https://openalex.org/A5069901933,Vijay Pereira
https://openalex.org/A5084581187,Shuang Ren
https://openalex.org/A5000877507,Steven G. Rogelberg
https://openalex.org/A5054244780,Mark N. K. Saunders
https://openalex.org/A5014893902,Rosalie L. Tung
https://openalex.org/A5005292478,Arup Varma
https://openalex.org/A5100767396,Haochen Hua
https://openalex.org/A5100349725,Yutong Li
https://openalex.org/A5101737763,Tonghe Wang
https://openalex.org/A5025365324,Nanqing Dong
https://openalex.org/A5100318462,Wei Li
https://openalex.org/A5003512698,Junwei Cao
https://openalex.org/A5078836038,Hyunsoo Park
https://openalex.org/A5092401150,Anthony Onwuli
https://openalex.org/A5035797693,Aron Walsh
https://openalex.org/A5022581666,Mario Krenn
https://openalex.org/A5064016511,Robert Pollice
https://openalex.org/A5030455114,Si Yue Guo
https://openalex.org/A5056535696,Matteo Aldeghi
https://openalex.org/A5031306679,Alba Cervera-Lierta
https://openalex.org/A5052771582,Pascal Friederich
https://openalex.org/A5048633127,Gabriel dos Passos Gomes
https://openalex.org/A5015637398,Florian Häse
https://openalex.org/A5019436022,Adrián Jinich
https://openalex.org/A5029665492,AkshatKumar Nigam
https://openalex.org/A5014141631,Zhenpeng Yao
https://openalex.org/A5071495561,Alán Aspuru‐Guzik
https://openalex.org/A5051063958,Iván Contreras
https://openalex.org/A5069860044,Josep Vehı́
https://openalex.org/A5023904997,Eduardo Habib Bechelane Maia
https://openalex.org/A5107905185,Letícia C. Assis
https://openalex.org/A5004492454,Tiago Alves de Oliveira
https://openalex.org/A5014780974,Alisson Marques da Silva
https://openalex.org/A5032625673,Alex Gutterres Taranto
https://openalex.org/A5045245219,Sandeep Singh Sengar
https://openalex.org/A5056590849,Affan Bin Hasan
https://openalex.org/A5100741896,Sanjay Kumar
https://openalex.org/A5066690479,Fiona Carroll
https://openalex.org/A5075734877,Adrián Carballal
https://openalex.org/A5029805925,Nereida Rodríguez-Fernández
https://openalex.org/A5006102427,Iria Santos
https://openalex.org/A5050096773,Juan Romero
https://openalex.org/A5010265149,Jorge Arinez
https://openalex.org/A5001339425,Qing Chang
https://openalex.org/A5060566070,Robert X. Gao
https://openalex.org/A5038778697,Chengying Xu
https://openalex.org/A5075712660,Jianjing Zhang
https://openalex.org/A5038877365,Ben Goertzel
https://openalex.org/A5059082898,Mohammad Jamshidi
https://openalex.org/A5069159279,Ali Lalbakhsh
https://openalex.org/A5026754295,Jakub Talla
https://openalex.org/A5048057355,Zdeněk Peroutka
https://openalex.org/A5087450993,Farimah Hadjilooei
https://openalex.org/A5028781733,Pedram Lalbakhsh
https://openalex.org/A5030247098,Morteza Jamshidi
https://openalex.org/A5026369455,Luigi La Spada
https://openalex.org/A5060485852,Mirhamed Mirmozafari
https://openalex.org/A5068476037,Mojgan Dehghani
https://openalex.org/A5021240085,Asal Sabet
https://openalex.org/A5042721942,Saeed Roshani
https://openalex.org/A5000911580,Sobhan Roshani
https://openalex.org/A5053257512,Nima Bayat-Makou
https://openalex.org/A5039459979,Bahare Mohamadzade
https://openalex.org/A5049114488,Zahra Malek
https://openalex.org/A5042219269,Alireza Jamshidi
https://openalex.org/A5041805549,Sara Kiani
https://openalex.org/A5054054547,Hamed Hashemi‐Dezaki
https://openalex.org/A5068708931,Wahab Mohyuddin
https://openalex.org/A5010629271,Michael W. Mullowney
https://openalex.org/A5088799398,Katherine Duncan
https://openalex.org/A5039735111,Somayah S. Elsayed
https://openalex.org/A5028170003,Neha Garg
https://openalex.org/A5075156076,Justin J. J. van der Hooft
https://openalex.org/A5088809877,Nathaniel I. Martin
https://openalex.org/A5071656104,David Meijer
https://openalex.org/A5024305342,Barbara R. Terlouw
https://openalex.org/A5036545419,Friederike Biermann
https://openalex.org/A5018360029,Kai Blin
https://openalex.org/A5040003101,Janani Durairaj
https://openalex.org/A5034098867,Marina Gorostiola González
https://openalex.org/A5062139071,Eric J. N. Helfrich
https://openalex.org/A5068532928,Florian Huber
https://openalex.org/A5000083420,Stefan Leopold‐Messer
https://openalex.org/A5017832889,Kohulan Rajan
https://openalex.org/A5057932106,Tristan de Rond
https://openalex.org/A5106945613,Jeffrey A. van Santen
