project_id,venue_id
https://openalex.org/W4283318215,https://openalex.org/S4210190517
https://openalex.org/W2929026486,https://openalex.org/S157664895
https://openalex.org/W4403405969,https://openalex.org/S110447773
https://openalex.org/W4403402994,https://openalex.org/S30283931
https://openalex.org/W4307807507,https://openalex.org/S4210198803
https://openalex.org/W2808102992,https://openalex.org/S14881475
https://openalex.org/W4400948754,https://openalex.org/S37391459
https://openalex.org/W4388424540,https://openalex.org/S9692511
https://openalex.org/W4386380023,https://openalex.org/S4210181540
https://openalex.org/W4321254242,https://openalex.org/S2764969478
https://openalex.org/W3197063311,https://openalex.org/S4210225776
https://openalex.org/W4220706376,https://openalex.org/S4210188283
https://openalex.org/W3046496872,https://openalex.org/S4210235149
https://openalex.org/W4388639388,https://openalex.org/S9070373
https://openalex.org/W2886700507,https://openalex.org/S122867665
https://openalex.org/W4281643269,https://openalex.org/S64187185
https://openalex.org/W4391403992,https://openalex.org/S65690446
https://openalex.org/W4391968719,https://openalex.org/S2596204836
https://openalex.org/W4317625850,https://openalex.org/S10623703
https://openalex.org/W3214404698,https://openalex.org/S7560371
https://openalex.org/W4210361514,https://openalex.org/S4210205812
https://openalex.org/W2898892040,https://openalex.org/S2738348041
https://openalex.org/W4360610309,https://openalex.org/S2912241403
https://openalex.org/W4380988459,https://openalex.org/S85265705
https://openalex.org/W2914940847,https://openalex.org/S4210177699
https://openalex.org/W4378084879,https://openalex.org/S110346167
https://openalex.org/W3010274200,https://openalex.org/S4210195431
https://openalex.org/W4308751002,https://openalex.org/S137519996
https://openalex.org/W4316669402,https://openalex.org/S9692511
